sample_date,year,count
5/18/2022,2021,20
6/1/2022,2021,21
6/14/2022,2021,20
6/28/2022,2021,19
7/13/2022,2021,19
7/26/2022,2021,17
8/10/2022,2021,20
5/17/2022,2022,18
6/8/2022,2022,20
6/20/2022,2022,20
7/7/2022,2022,21
7/20/2022,2022,19
8/1/2022,2022,18
8/17/2022,2022,18
