site,core,density
WR5,1,0
WR5,2,259.8524688
WR5,3,1039.409875
WR5,4,259.8524688
WR5,5,0
WR8,1,0
WR8,2,259.8524688
WR8,3,0
WR8,4,259.8524688
WR8,5,0
WR18,1,259.8524688
WR18,2,0
WR18,3,0
WR18,4,0
WR18,5,0
